harvested date,rate,variety,samples,plot,block,total weight,weight of husks,weight of ears,weigh of kernels,cotons,% moisture,% recoverry,yield per acre
24-Aug,0,GH 6055,20,113,1,20.6,4.1,16.4,9.4,6.3,78.00%,45.60%,8.2
24-Aug,40,GH 6055,20,114,1,22.5,4.5,18,11.2,6.4,79.00%,49.80%,9
24-Aug,80,GH 6055,20,115,1,21.1,4.1,17.1,10.3,6.6,75.00%,48.80%,8.4
24-Aug,120,GH 6055,20,116,1,18.5,4.2,14.6,8.2,6.2,81.00%,44.30%,7.4
24-Aug,160,GH 6055,20,117,1,20.8,4.5,16.3,9.6,6.6,79.00%,46.20%,8.3
24-Aug,200,GH 6055,20,118,1,21.7,5,16.6,10.5,6.1,79.00%,48.40%,8.7
24-Aug,200,GH 6055,20,201,2,21.7,5,16.6,10.5,6.1,79.00%,48.40%,8.7
24-Aug,120,GH 6055,20,202,2,18.5,4.2,14.6,8.2,6.2,81.00%,44.30%,7.4
24-Aug,40,GH 6055,20,203,2,22.5,4.5,18,11.2,6.4,79.00%,49.80%,9
24-Aug,160,GH 6055,20,204,2,20.8,4.5,16.3,9.6,6.6,79.00%,46.20%,8.3
24-Aug,80,GH 6055,20,205,2,21.1,4.1,17.1,10.3,6.6,75.00%,48.80%,8.4
24-Aug,0,GH 6055,20,206,2,20.6,4.1,16.4,9.4,6.3,78.00%,45.60%,8.2
24-Aug,40,GH 6055,20,313,3,22.5,4.5,18,11.2,6.4,79.00%,49.80%,9
24-Aug,80,GH 6055,20,314,3,21.1,4.1,17.1,10.3,6.6,75.00%,48.80%,8.4
24-Aug,120,GH 6055,20,315,3,18.5,4.2,14.6,8.2,6.2,81.00%,44.30%,7.4
24-Aug,200,GH 6055,20,316,3,21.7,5,16.6,10.5,6.1,79.00%,48.40%,8.7
24-Aug,0,GH 6055,20,317,3,20.6,4.1,16.4,9.4,6.3,78.00%,45.60%,8.2
24-Aug,160,GH 6055,20,318,3,20.8,4.5,16.3,9.6,6.6,79.00%,46.20%,8.3
05-Sep,0,GSS 3951,10,101,1,8.4,2.2,6.2,3.6,2.6,88.00%,42.90%,6
05-Sep,40,GSS 3951,6,102,1,5,1.3,3.8,2.1,1.5,88.00%,42.00%,3.6
05-Sep,80,GSS 3951,6,103,1,5.7,1.8,3.9,1.8,2,83.00%,31.60%,4.1
05-Sep,120,GSS 3951,4,104,1,2.8,0.9,3.9,1.8,2,83.00%,64.30%,2
05-Sep,160,GSS 3951,3,105,1,2.2,0.6,1.6,0.9,0.7,79.00%,40.90%,1.6
05-Sep,200,GSS 3951,6,106,1,5,1.1,3,1.7,1.2,84.00%,34.00%,3.6
05-Sep,160,GSS 3951,10,207,2,11.6,2,9.5,6.4,2.8,78.00%,55.20%,8.3
05-Sep,200,GSS 3951,10,208,2,11.3,1.9,9.5,6.5,2.8,77.00%,57.50%,8.1
05-Sep,0,GSS 3951,10,209,2,11.5,2,9.5,6.4,2.9,80.00%,55.70%,8.2
05-Sep,40,GSS 3951,10,210,2,11.1,1.9,9.2,6.2,2.8,80.00%,55.90%,7.9
